amount,parcelNumber,url,Owner ,Address,Total Acreage,Above Grade sqft.,,Tax District,2021 Land Value,2021 Building Value,2021 Market Value,% Exempt,Exempt Type
2487.74,15132530050000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15283540430000&nbhd=6410&PA=, 3090-3500 LLC ,3090 W 3500 S,0.12,,574 - FAST-FOOD-RE,29V,"$         133,300","$          76,500","$         209,800",NA,NA
2446.03,15283540430000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21214280330000&nbhd=834&PA=, 33 HOLDINGS LLC & GEORGE BROTHERS INC ,2241 W CLUMBER LN,0.04,,901 - VAC-RES-DEV,37,"$           2,000",$              0,"$           2,000",NA,NA
144.42,21214280330000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16153310080000&nbhd=125&PA=," 33 HOLDINGS, LLC ",2266 E GARFIELD AVE,0.15,1343,111 - SNGL FAM RES,13,"$         132,100","$         328,100","$         460,200",NA,NA
3004.18,16153310080000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16263510050000&nbhd=7952&PA=, 33 VIEWS LLC ,2780 E 3300 S,0.09,,913 - VAC-MH-ASSC,ACP,"$          86,600",$              0,"$          86,600",NA,NA
3244.29,16263510050000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16263510460000&nbhd=7952&PA=, 33 VIEWS LLC ,2780 E 3300 S,0.15,,114 - 5-9 UNITS,ACP,"$         178,000","$        1,475,900","$        1,653,900",NA,NA
6977.24,16263510460000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16263510470000&nbhd=7952&PA=, 33 VIEWS LLC ,2780 E 3300 S,0.04,,913 - VAC-MH-ASSC,ACP,"$          30,800",$              0,"$          30,800",NA,NA
1388.86,16263510470000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16263510490000&nbhd=7952&PA=, 33 VIEWS LLC ,2780 E 3300 S,0.02,,913 - VAC-MH-ASSC,ACP,"$          15,400",$              0,"$          15,400",NA,NA
648.66,16263510490000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22312570370000&nbhd=432&PA=, 3500 ENTERPRISE LLC ,448 E 8000 S,0.23,,911 - RES LOT,35B,"$         125,900",$              0,"$         125,900",NA,NA
3444.06,22312570370000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15323020270000&nbhd=776&PA=," 3500 ENTERPRISE, LLC ",3857 S GRANT VIEW CT,0.19,,911 - RES LOT,24,"$          98,800",$              0,"$          98,800",NA,NA
2937.81,15323020270000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21123060150000&nbhd=389&PA=," 435 EAST DEBS PLACE, LLC ET AL ",536 W GERMANIA AVE,0.37,1360,111 - SNGL FAM RES,21,"$         136,900","$         247,600","$         384,500",NA,NA
634.22,91402460000380000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16203040120000&nbhd=237&PA=," 440 NORTH SF, LLC ",2420 S LAKE ST,0.11,672,111 - SNGL FAM RES,13,"$         102,700","$         154,400","$         257,100",NA,NA
2193.95,21123060150000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21081020110000&nbhd=811&PA=, 4847 PROPERTY LLC ,4847 S 4015 W,0.27,896,111 - SNGL FAM RES,64,"$          76,400","$         212,000","$         288,400",NA,NA
1705.16,16203040120000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21081020110000&nbhd=811&PA=, 4847 PROPERTY LLC ,4847 S 4015 W,0.27,896,111 - SNGL FAM RES,64,"$          76,400","$         212,000","$         288,400",NA,NA
4613.65,21081020110000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21064600040000&nbhd=786&PA=, 6D HOLDINGS TRUST; TR ANNAPOLIS DRIVE 42 ,4201 W ANNAPOLIS DR,0.19,1120,111 - SNGL FAM RES,24,"$          85,300","$         219,900","$         305,200",NA,NA
485.22,21081020110000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=09323580050000&nbhd=7580&PA=, 62 K STREET LLC ,62 N K ST,0.08,,110 - APT-CONVERSN,13,"$         150,400","$         405,300","$         555,700",NA,NA
324.14,14253830070000106,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22221020160000&nbhd=5611&PA=," 6375 CTAG, LLC ",6375 S HIGHLAND DR,0.50,,566 - OFFICE,83,"$         528,200","$         180,300","$         708,500",NA,NA
496.32,14253830070000104,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22221020210000&nbhd=644&PA=," 6375 CTAG, LLC ",6375 S HIGHLAND DR,0.05,,957 - RELATED-PARCL,83,"$          21,500",$              0,"$          21,500",NA,NA
559.95,14253830070000105,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22221070400000&nbhd=644&PA=," 6375 CTAG, LLC ",6375 S HIGHLAND DR,0.02,,957 - RELATED-PARCL,83,"$           8,600",$              0,"$           8,600",NA,NA
496.32,14253830070000103,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16203040090000&nbhd=7970&PA=, 7TH STREET ,2487 S 700 E,0.59,,540 - GROUP-CAR-H,13,"$         457,600","$         424,000","$         881,600",NA,NA
1743.80,21064600040000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16203530250000&nbhd=7940&PA=, 7TH STREET A UTAH CORPORATION ,2574 S 800 E,0.23,,113 - 3-4 UNITS,13,"$         339,400","$         314,200","$         653,600",NA,NA
6.55,09323580050000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16321520040000&nbhd=267&PA=," 700 EAST, LLC ",3671 S 700 E,0.44,1407,111 - SNGL FAM RES,ACN,"$         154,500","$         120,700","$         275,200",NA,NA
27893.39,22221020160000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22302510270000&nbhd=949&PA=," 7213 PEARL, LLC ",7213 S PEARL CIR,0.16,1144,111 - SNGL FAM RES,30A,"$         112,900","$         163,800","$         276,700",NA,NA
874.97,22221020210000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16063030070000&nbhd=7650&PA=, 75 LLC ,73-75 E 400 S,0.12,,566 - OFFICE,01G,"$         638,900","$        1,210,700","$        1,849,600",NA,NA
369.03,22221070400000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21253520030000&nbhd=5420&PA=, 7569 HOLDINGS LLC ,7659 S MAIN ST,0.12,,566 - OFFICE,30M,"$          68,400","$         174,100","$         242,500",NA,NA
47574.99,16203040090000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21264780190000&nbhd=5420&PA=, 7598 MAIN STREET LLC ,7592 S MAIN ST,0.42,1620,511 - RES-ON-COMM,30M,"$         213,300","$          16,500","$         229,800",NA,NA
9447.25,16203530250000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21071090250000&nbhd=764&PA=, 764 S 1000 E LLC ,4749 S 4720 W,0.07,1104,111 - SNGL FAM RES,ABQ,"$          41,400","$         184,700","$         226,100",50,IMPROVEMENTS
310.46,16321520040000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=28304780710000&nbhd=972&PA=," 787, LLC ",644 E VANDALAY LN,0.07,,922 - PUD LOT,55,"$          65,700",$              0,"$          65,700",NA,NA
